net_type,province,city_name,area_name,area_code,msc_name,msc_id,sign_point_code,scp_vc_id,number_reply_code,remark,start_time
GS,湖北,宜昌,宜昌,717,宜昌GS13,13445725,17-254-206,,20161109,,2016/11/9 9:13
GS,湖北,宜昌,荆州,716,宜昌GS16,13445728,17-254-214,,20161109,,2016/11/9 9:13
GS,湖北,宜昌,恩施,718,宜昌GS17,13445729,17-254-218,,20161109,,2016/11/9 9:13
GS,湖南,长沙,株洲,731,长沙GS08,13441733,18-254-173,,20161109,,2016/11/9 9:13
GS,湖南,长沙,衡阳,734,长沙GS09,13440741,18-254-174,,20161109,,2016/11/9 9:13
GS,湖南,长沙,张家界,744,长沙GS14,13440744,18-254-8318-244-35,,2015,,2016/11/9 9:13
GS,湖南,长沙,张家界,744,长沙GS14,13441744,18-254-8318-244-35,,2015,,2016/11/9 9:13
GS,湖南,长沙,衡阳,734,长沙GS11,13441734,18-254-175,,20161109,,2016/11/9 9:13
GS,湖南,长沙,永州,746,长沙GS12,13442746,18-244-1918-254-176,,2015,,2016/11/9 9:13
GS,湖南,长沙,永州,746,长沙GS12,13443746,18-244-1918-254-176,,2015,,2016/11/9 9:13
GS,湖南,长沙,岳阳,730,长沙GS13,13441730,18-254-178,,20161109,,2016/11/9 9:13
GS,湖南,衡阳,娄底,738,衡阳GS06,13744738,,,2015,,2016/11/9 9:13
GS,湖南,衡阳,邵阳,739,衡阳GS06,13444739,18-254-79,,2015,,2016/11/9 9:13
GS,湖南,衡阳,邵阳,739,衡阳GS06,13445739,18-254-79,,2015,,2016/11/9 9:13
GS,湖南,衡阳,邵阳,739,衡阳GS06,13446739,18-254-79,,2015,,2016/11/9 9:13
GS,湖南,长沙,长沙,731,长沙GS03,13443742,18-254-7218-254-38,,20161109,,2016/11/9 9:13
GS,湖南,长沙,长沙,731,长沙GS03,13443747,18-254-7218-254-38,,20161109,,2016/11/9 9:13
GS,湖南,长沙,长沙,731,长沙GS03,13443748,18-254-7218-254-38,,20161109,,2016/11/9 9:13
DS,湖南,常德,常德,736,常德DS4,13743841,18-254-13118-254-238,,计划(2010)000号,,2016/11/9 9:13
DS,湖南,常德,怀化,745,常德DS4,,18-254-8,,计划(2010)000号,,2016/11/9 9:13
DS,湖南,常德,岳阳,730,常德DS4,13743740,18-254-134,,计划(2010)000号,,2016/11/9 9:13
DS,湖南,常德,益阳,737,常德DS4,13448748,18-244-115,,计划(2010)000号,,2016/11/9 9:13
DS,湖南,常德,怀化,745,常德DS4,13448749,18-244-116,,计划(2010)000号,,2016/11/9 9:13
DS,湖南,衡阳,衡阳,734,衡阳DS4,13742844,18-254-11218-254-236,,计划(2010)000号,,2016/11/9 9:13
DS,湖南,衡阳,郴州,735,衡阳DS4,13746735,18-254-113,,计划(2010)000号,,2016/11/9 9:13
